property_id,property_type,property_subtype,price,price_type,living_area_m2,bedrooms,bathrooms,address,postal_code,city,latitude,longitude,building_year,epc_score,region,province,nearby_city,state_of_the_building,furnished,kitchen_equipped,has_garage,parking_count,facades,floors_total,floor_number,has_garden,garden_area_m2,has_terrace,total_area_m2,has_elevator
https://immovlan.be/en/detail/residence/for-sale/8904/boezinge/rbw18620,House,residence,749000,sell,359,3,1,Molenstraat 5A,8904,boezinge,50.8971265,2.8638764,1994,C,Flanders,West Flanders,"('Roeselare', 18.9, False)",Excellent,,,1,1,4,,,1,,,2702.0,
https://immovlan.be/en/detail/residence/for-sale/5530/yvoir/vbe34468,House,residence,900000,sell,238,3,4,Rue d&#x27;Evrehailles 58,5530,yvoir,50.3188876,4.88900303,,G,Wallonia,Namur,"('Namur', 16.5, False)",To be renovated,0,,,,4,1,,1,2059.0,,2059.0,0
https://immovlan.be/en/detail/residence/for-sale/2830/willebroek/rbw19246,House,residence,1800000,sell,1565,21,,Grote Bergen 50,2830,willebroek,51.07515,4.393802,,F,Flanders,Antwerp,"('Malines', 8.0, False)",To be renovated,0,,,,4,,,1,,1,27811.0,0
https://immovlan.be/en/detail/residence/for-sale/6830/bouillon/vbe25685,House,residence,975000,sell,400,10,10,,6830,bouillon,49.7892158,5.0905007,1918,G,Wallonia,Luxembourg,"('Arlon', 53.5, False)",Excellent,1,Super equipped,1,1,4,2,,1,2800.0,1,3621.0,0
https://immovlan.be/en/detail/villa/for-sale/7850/enghien/vbe33685,House,villa,875000,sell,485,6,3,,7850,enghien,50.6947227,4.0418874,1720,B,Wallonia,Hainaut,"('La Louvière', 26.1, False)",Excellent,0,Super equipped,,,4,3,,1,,1,1168.0,0
https://immovlan.be/en/detail/villa/for-sale/4920/aywaille/vbe32768,House,villa,845000,sell,240,4,4,Rue Chifgotte 2,4920,aywaille,50.4736583,5.7396407,2012,B,Wallonia,Liège,"('Verviers', 15.5, False)",Excellent,0,Super equipped,1,1,4,2,,1,1842.0,1,2483.0,0
https://immovlan.be/en/detail/residence/for-sale/5537/anhee/vbe36265,House,residence,900000,sell,327,5,3,,5537,anhee,50.3,4.8666667,1942,C,Wallonia,Namur,"('Namur', 18.6, False)",Excellent,0,Fully equipped,,,4,2,,1,900.0,1,12300.0,0
https://immovlan.be/en/detail/apartment/for-sale/8670/koksijde/rbw20345,Apartment,apartment,965000,sell,142,3,2,Sint-Idesbaldusstraat 1 06.01,8670,koksijde,51.118857,2.629822,2010,B,Flanders,West Flanders,"('De Panne', 3.4, True)",Fully renovated,0,,,,,6,6,,,1,,1
https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbe35169,House,residence,145000,sell,175,4,1,Rue de Bayemont 110,6040,jumet,50.431355,4.4107045,1959,E,Wallonia,Hainaut,"('Charleroi', 3.3, False)",To renovate,0,Fully equipped,1,1,3,2,,1,,1,605.0,0
https://immovlan.be/en/detail/master-house/for-sale/4000/liege/vbe20592,House,master-house,900000,sell,601,8,1,Avenue constantin gerlache 36,4000,liege,50.6175718,5.5719653,1910,F,Wallonia,Liège,"('Liège', 1.8, False)",To be renovated,,,,,4,3,,1,4087.0,0,5093.0,0
https://immovlan.be/en/detail/residence/for-sale/1702/groot-bijgaarden/rbw18012,House,residence,435000,sell,165,3,1,Brusselstraat 15,1702,groot-bijgaarden,50.8670891,4.2791901,1955,F,Flanders,Flemish Brabant,"('Bruxelles', 5.4, False)",,0,Partially equipped,,,2,,,1,,1,247.0,
https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbw19637,House,residence,419000,sell,153,4,1,Van Benedenlaan 33,2800,mechelen,51.0216389,4.4749801,1899,D,Flanders,Antwerp,"('Malines', 0.5, False)",,0,Fully equipped,,,2,,,,,1,78.0,
https://immovlan.be/en/detail/residence/for-sale/6661/mont/vbe34571,House,residence,879000,sell,310,8,3,Wilogne 8 h /8H1,6661,mont,50.166692,5.7666426,2008,B,Wallonia,Luxembourg,"('Verviers', 47.5, False)",,,Super equipped,,,4,,,1,,1,5491.0,
https://immovlan.be/en/detail/cottage/for-sale/7910/anvaing/rbw15990,House,cottage,2280000,sell,1500,7,4,,7910,anvaing,50.6827667,3.5610313,,B,Wallonia,Hainaut,"('Tournai', 14.8, False)",Excellent,0,Fully equipped,1,10,4,4,,1,150000.0,1,20000.0,0
https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbe35095,Apartment,duplex,395000,sell,120,2,2,Rue des Patriotes 9,1000,brussels,50.8469517,4.3876671,1900,E,Brussels,Brussels Capital Region,"('Bruxelles', 2.6, False)",Excellent,1,Super equipped,,,2,4,0,,,,,0
https://immovlan.be/en/detail/villa/for-sale/5170/bois-de-villers/vwd17842,House,villa,895000,sell,400,5,2,Rue Edouard Biname 10,5170,bois-de-villers,50.4016661,4.8328003,2014,B,Wallonia,Namur,"('Namur', 7.7, False)",Excellent,,Partially equipped,,,4,,,1,700.0,1,890.0,
